/usr/local/anaconda3/envs/hcl_utilities/bin/python /Users/user/source/historic_coastal_landfills/projects/source/utilities/python/hcl_utilities/plot_hcl_site_markers_on_map.py 
2023-02-06 12:37:58.477 | INFO     | preprocess.initial_preprocess:get_lat_long_postcode_from_easting_and_northing_worker:155 - Converting easting and northing into latitude and longitude for site: 39 of 281
2023-02-06 12:37:58.478 | INFO     | preprocess.initial_preprocess:get_lat_long_postcode_from_easting_and_northing_worker:155 - Converting easting and northing into latitude and longitude for site: 21 of 281
2023-02-06 12:37:58.482 | INFO     | preprocess.initial_preprocess:get_lat_long_postcode_from_easting_and_northing_worker:155 - Converting easting and northing into latitude and longitude for site: 3 of 281
2023-02-06 12:37:58.517 | INFO     | preprocess.initial_preprocess:get_lat_long_postcode_from_easting_and_northing_worker:155 - Converting easting and northing into latitude and longitude for site: 48 of 281
2023-02-06 12:37:58.519 | INFO     | preprocess.initial_preprocess:get_lat_long_postcode_from_easting_and_northing_worker:155 - Converting easting and northing into latitude and longitude for site: 57 of 281
2023-02-06 12:37:58.530 | INFO     | preprocess.initial_preprocess:get_lat_long_postcode_from_easting_and_northing_worker:155 - Converting easting and northing into latitude and longitude for site: 13 of 281
2023-02-06 12:37:58.547 | INFO     | preprocess.initial_preprocess:get_lat_long_postcode_from_easting_and_northing_worker:155 - Converting easting and northing into latitude and longitude for site: 66 of 281
2023-02-06 12:37:58.548 | INFO     | preprocess.initial_preprocess:get_lat_long_postcode_from_easting_and_northing_worker:155 - Converting easting and northing into latitude and longitude for site: 22 of 281
2023-02-06 12:37:58.548 | INFO     | preprocess.initial_preprocess:get_lat_long_postcode_from_easting_and_northing_worker:155 - Converting easting and northing into latitude and longitude for site: 4 of 281
2023-02-06 12:37:58.560 | INFO     | preprocess.initial_preprocess:get_lat_long_postcode_from_easting_and_northing_worker:155 - Converting easting and northing into latitude and longitude for site: 40 of 281
2023-02-06 12:37:58.574 | INFO     | preprocess.initial_preprocess:get_lat_long_postcode_from_easting_and_northing_worker:155 - Converting easting and northing into latitude and longitude for site: 31 of 281
2023-02-06 12:37:58.603 | INFO     | preprocess.initial_preprocess:get_lat_long_postcode_from_easting_and_northing_worker:155 - Converting easting and northing into latitude and longitude for site: 49 of 281
2023-02-06 12:37:58.605 | INFO     | preprocess.initial_preprocess:get_lat_long_postcode_from_easting_and_northing_worker:155 - Converting easting and northing into latitude and longitude for site: 14 of 281
2023-02-06 12:37:58.610 | INFO     | preprocess.initial_preprocess:get_lat_long_postcode_from_easting_and_northing_worker:155 - Converting easting and northing into latitude and longitude for site: 58 of 281
2023-02-06 12:37:58.614 | INFO     | preprocess.initial_preprocess:get_lat_long_postcode_from_easting_and_northing_worker:155 - Converting easting and northing into latitude and longitude for site: 5 of 281
2023-02-06 12:37:58.622 | INFO     | preprocess.initial_preprocess:get_lat_long_postcode_from_easting_and_northing_worker:155 - Converting easting and northing into latitude and longitude for site: 23 of 281
2023-02-06 12:37:58.631 | INFO     | preprocess.initial_preprocess:get_lat_long_postcode_from_easting_and_northing_worker:155 - Converting easting and northing into latitude and longitude for site: 32 of 281
2023-02-06 12:37:58.635 | INFO     | preprocess.initial_preprocess:get_lat_long_postcode_from_easting_and_northing_worker:155 - Converting easting and northing into latitude and longitude for site: 41 of 281
2023-02-06 12:37:58.636 | INFO     | preprocess.initial_preprocess:get_lat_long_postcode_from_easting_and_northing_worker:155 - Converting easting and northing into latitude and longitude for site: 67 of 281
2023-02-06 12:37:58.675 | INFO     | preprocess.initial_preprocess:get_lat_long_postcode_from_easting_and_northing_worker:155 - Converting easting and northing into latitude and longitude for site: 50 of 281
2023-02-06 12:37:58.675 | INFO     | preprocess.initial_preprocess:get_lat_long_postcode_from_easting_and_northing_worker:155 - Converting easting and northing into latitude and longitude for site: 15 of 281
2023-02-06 12:37:58.675 | INFO     | preprocess.initial_preprocess:get_lat_long_postcode_from_easting_and_northing_worker:155 - Converting easting and northing into latitude and longitude for site: 59 of 281
2023-02-06 12:37:58.689 | INFO     | preprocess.initial_preprocess:get_lat_long_postcode_from_easting_and_northing_worker:155 - Converting easting and northing into latitude and longitude for site: 42 of 281
2023-02-06 12:37:58.690 | INFO     | preprocess.initial_preprocess:get_lat_long_postcode_from_easting_and_northing_worker:155 - Converting easting and northing into latitude and longitude for site: 6 of 281
2023-02-06 12:37:58.691 | INFO     | preprocess.initial_preprocess:get_lat_long_postcode_from_easting_and_northing_worker:155 - Converting easting and northing into latitude and longitude for site: 68 of 281
2023-02-06 12:37:58.691 | INFO     | preprocess.initial_preprocess:get_lat_long_postcode_from_easting_and_northing_worker:155 - Converting easting and northing into latitude and longitude for site: 33 of 281
2023-02-06 12:37:58.685 | INFO     | preprocess.initial_preprocess:get_lat_long_postcode_from_easting_and_northing_worker:155 - Converting easting and northing into latitude and longitude for site: 24 of 281
2023-02-06 12:37:58.723 | INFO     | preprocess.initial_preprocess:get_lat_long_postcode_from_easting_and_northing_worker:155 - Converting easting and northing into latitude and longitude for site: 51 of 281
2023-02-06 12:37:58.729 | INFO     | preprocess.initial_preprocess:get_lat_long_postcode_from_easting_and_northing_worker:155 - Converting easting and northing into latitude and longitude for site: 16 of 281
2023-02-06 12:37:58.737 | INFO     | preprocess.initial_preprocess:get_lat_long_postcode_from_easting_and_northing_worker:155 - Converting easting and northing into latitude and longitude for site: 60 of 281
2023-02-06 12:37:58.739 | INFO     | preprocess.initial_preprocess:get_lat_long_postcode_from_easting_and_northing_worker:155 - Converting easting and northing into latitude and longitude for site: 25 of 281
2023-02-06 12:37:58.739 | INFO     | preprocess.initial_preprocess:get_lat_long_postcode_from_easting_and_northing_worker:155 - Converting easting and northing into latitude and longitude for site: 7 of 281
2023-02-06 12:37:58.745 | INFO     | preprocess.initial_preprocess:get_lat_long_postcode_from_easting_and_northing_worker:155 - Converting easting and northing into latitude and longitude for site: 69 of 281
2023-02-06 12:37:58.746 | INFO     | preprocess.initial_preprocess:get_lat_long_postcode_from_easting_and_northing_worker:155 - Converting easting and northing into latitude and longitude for site: 34 of 281
2023-02-06 12:37:58.750 | INFO     | preprocess.initial_preprocess:get_lat_long_postcode_from_easting_and_northing_worker:155 - Converting easting and northing into latitude and longitude for site: 43 of 281
2023-02-06 12:37:58.778 | INFO     | preprocess.initial_preprocess:get_lat_long_postcode_from_easting_and_northing_worker:155 - Converting easting and northing into latitude and longitude for site: 52 of 281
2023-02-06 12:37:58.782 | INFO     | preprocess.initial_preprocess:get_lat_long_postcode_from_easting_and_northing_worker:155 - Converting easting and northing into latitude and longitude for site: 17 of 281
2023-02-06 12:37:58.787 | INFO     | preprocess.initial_preprocess:get_lat_long_postcode_from_easting_and_northing_worker:155 - Converting easting and northing into latitude and longitude for site: 61 of 281
2023-02-06 12:37:58.791 | INFO     | preprocess.initial_preprocess:get_lat_long_postcode_from_easting_and_northing_worker:155 - Converting easting and northing into latitude and longitude for site: 26 of 281
2023-02-06 12:37:58.806 | INFO     | preprocess.initial_preprocess:get_lat_long_postcode_from_easting_and_northing_worker:155 - Converting easting and northing into latitude and longitude for site: 35 of 281
2023-02-06 12:37:58.808 | INFO     | preprocess.initial_preprocess:get_lat_long_postcode_from_easting_and_northing_worker:155 - Converting easting and northing into latitude and longitude for site: 8 of 281
2023-02-06 12:37:58.825 | INFO     | preprocess.initial_preprocess:get_lat_long_postcode_from_easting_and_northing_worker:155 - Converting easting and northing into latitude and longitude for site: 70 of 281
2023-02-06 12:37:58.837 | INFO     | preprocess.initial_preprocess:get_lat_long_postcode_from_easting_and_northing_worker:155 - Converting easting and northing into latitude and longitude for site: 44 of 281
